date_utc,channel,message_id,link,substantive,topic,subtopic,sentiment,summary_en,views,forwards
2026-06-02 00:11:03,ngp_razvedka,25477,https://t.me/ngp_razvedka/25477,False,none,none,neu,,39126,39
2026-06-02 00:14:16,ngp_razvedka,25478,https://t.me/ngp_razvedka/25478,False,none,none,neu,,38605,11
2026-06-02 00:17:06,ngp_razvedka,25479,https://t.me/ngp_razvedka/25479,False,none,none,neu,,43847,100
2026-06-02 00:18:10,ngp_razvedka,25480,https://t.me/ngp_razvedka/25480,False,none,none,neu,,40657,18
2026-06-02 00:22:58,ngp_razvedka,25481,https://t.me/ngp_razvedka/25481,True,strikes_on_ukraine,deep_strikes,pos,Russia planned to strike Kyiv with explosives and fragmentation munitions.,39640,23
2026-06-02 01:10:07,ngp_razvedka,25482,https://t.me/ngp_razvedka/25482,False,none,none,neu,,40096,120
2026-06-02 01:17:33,ngp_razvedka,25483,https://t.me/ngp_razvedka/25483,False,none,none,neu,,45459,73
2026-06-02 03:36:54,dva_majors,93912,https://t.me/dva_majors/93912,False,none,none,neu,,115774,48
2026-06-02 03:36:57,dva_majors,93913,https://t.me/dva_majors/93913,True,strikes_on_ukraine,deep_strikes,pos,"Russian forces struck Kyiv, Dnipro, Kharkiv, Zaporizhzhia hitting Ukroboronprom and energy infrastructure.",363792,457
2026-06-02 03:43:10,dva_majors,93914,https://t.me/dva_majors/93914,False,none,none,neu,,106926,352
2026-06-02 03:47:20,dva_majors,93918,https://t.me/dva_majors/93918,False,none,none,neu,,113909,285
2026-06-02 03:47:20,dva_majors,93917,https://t.me/dva_majors/93917,False,none,none,neu,,119422,282
2026-06-02 03:47:20,dva_majors,93916,https://t.me/dva_majors/93916,False,none,none,neu,,116700,284
2026-06-02 03:47:20,dva_majors,93915,https://t.me/dva_majors/93915,True,strikes_on_ukraine,deep_strikes,pos,Four Russian cruise missiles struck Kyiv causing fires throughout the city.,114134,292
